Name,Status,Population Census 1972-09-16,Population Census 1981-03-01,Population Census 1998-03-01,Population Census 2017-03-15,Population Census 2023-03-01,Unnamed: 7
Islamabad,District,237549,340286,805235,2003368,2363863,
Pakistan,Islamic Republic,65309340,84253644,132352279,207684626,241499431,
