building,geometry
house,"POLYGON ((72.9950651 33.6876157, 72.9949526 33.6877647, 72.9948536 33.6877129, 72.994966 33.6875639, 72.9950651 33.6876157))"
house,"POLYGON ((72.9952049 33.6876945, 72.9950925 33.6878435, 72.9949934 33.6877917, 72.9951058 33.6876427, 72.9952049 33.6876945))"
house,"POLYGON ((72.9943122 33.686758, 72.9941998 33.6869071, 72.9941007 33.6868552, 72.9942131 33.6867062, 72.9943122 33.686758))"
house,"POLYGON ((72.9944515 33.686832, 72.9943391 33.6869811, 72.99424 33.6869293, 72.9943525 33.6867802, 72.9944515 33.686832))"
house,"POLYGON ((72.9945946 33.686898, 72.9944822 33.687047, 72.9943831 33.6869952, 72.9944956 33.6868462, 72.9945946 33.686898))"
house,"POLYGON ((72.994724 33.6869652, 72.9946116 33.6871142, 72.9945125 33.6870624, 72.994625 33.6869134, 72.994724 33.6869652))"
house,"POLYGON ((72.9948828 33.6870444, 72.9947703 33.6871934, 72.9946713 33.6871416, 72.9947837 33.6869926, 72.9948828 33.6870444))"
house,"POLYGON ((72.9950226 33.6871232, 72.9949102 33.6872722, 72.9948111 33.6872204, 72.9949235 33.6870714, 72.9950226 33.6871232))"
house,"POLYGON ((72.9951619 33.6871972, 72.9950495 33.6873462, 72.9949504 33.6872944, 72.9950629 33.6871454, 72.9951619 33.6871972))"
house,"POLYGON ((72.9953031 33.6872611, 72.9951906 33.6874101, 72.9950916 33.6873583, 72.995204 33.6872093, 72.9953031 33.6872611))"
house,"POLYGON ((72.9954429 33.6873399, 72.9953305 33.6874889, 72.9952314 33.6874371, 72.9953438 33.6872881, 72.9954429 33.6873399))"
house,"POLYGON ((72.9944769 33.6865622, 72.9943645 33.6867112, 72.9942654 33.6866594, 72.9943778 33.6865104, 72.9944769 33.6865622))"
house,"POLYGON ((72.9946162 33.6866362, 72.9945038 33.6867852, 72.9944047 33.6867334, 72.9945172 33.6865844, 72.9946162 33.6866362))"
house,"POLYGON ((72.9947593 33.6867022, 72.9946469 33.6868512, 72.9945478 33.6867994, 72.9946603 33.6866504, 72.9947593 33.6867022))"
house,"POLYGON ((72.9948887 33.6867694, 72.9947763 33.6869184, 72.9946772 33.6868666, 72.9947897 33.6867176, 72.9948887 33.6867694))"
house,"POLYGON ((72.9950475 33.6868486, 72.994935 33.6869976, 72.994836 33.6869458, 72.9949484 33.6867968, 72.9950475 33.6868486))"
house,"POLYGON ((72.9951873 33.6869274, 72.9950749 33.6870764, 72.9949758 33.6870246, 72.9950882 33.6868756, 72.9951873 33.6869274))"
house,"POLYGON ((72.9953266 33.6870014, 72.9952142 33.6871504, 72.9951151 33.6870986, 72.9952276 33.6869496, 72.9953266 33.6870014))"
house,"POLYGON ((72.9954678 33.6870653, 72.9953553 33.6872143, 72.9952563 33.6871625, 72.9953687 33.6870135, 72.9954678 33.6870653))"
house,"POLYGON ((72.9956076 33.6871441, 72.9954952 33.6872931, 72.9953961 33.6872413, 72.9955085 33.6870923, 72.9956076 33.6871441))"
house,"POLYGON ((72.9928298 33.6867361, 72.9927174 33.6868851, 72.9926183 33.6868333, 72.9927307 33.6866843, 72.9928298 33.6867361))"
house,"POLYGON ((72.9929691 33.6868101, 72.9928567 33.6869591, 72.9927576 33.6869073, 72.9928701 33.6867583, 72.9929691 33.6868101))"
house,"POLYGON ((72.9931122 33.686876, 72.9929998 33.687025, 72.9929007 33.6869732, 72.9930132 33.6868242, 72.9931122 33.686876))"
house,"POLYGON ((72.9932416 33.6869432, 72.9931292 33.6870922, 72.9930301 33.6870404, 72.9931426 33.6868914, 72.9932416 33.6869432))"
house,"POLYGON ((72.9932272 33.6866664, 72.9931148 33.6868154, 72.9930157 33.6867636, 72.9931281 33.6866146, 72.9932272 33.6866664))"
house,"POLYGON ((72.9933665 33.6867404, 72.9932541 33.6868894, 72.993155 33.6868376, 72.9932675 33.6866886, 72.9933665 33.6867404))"
house,"POLYGON ((72.9935097 33.6868064, 72.9933973 33.6869554, 72.9932982 33.6869036, 72.9934107 33.6867546, 72.9935097 33.6868064))"
house,"POLYGON ((72.9936391 33.6868736, 72.9935267 33.6870226, 72.9934276 33.6869708, 72.9935401 33.6868218, 72.9936391 33.6868736))"
house,"POLYGON ((72.9937979 33.6869528, 72.9936854 33.6871018, 72.9935864 33.68705, 72.9936988 33.686901, 72.9937979 33.6869528))"
house,"POLYGON ((72.9936476 33.6871578, 72.9935352 33.6873068, 72.9934361 33.687255, 72.9935486 33.687106, 72.9936476 33.6871578))"
house,"POLYGON ((72.9935083 33.6870838, 72.9933959 33.6872328, 72.9932968 33.687181, 72.9934092 33.687032, 72.9935083 33.6870838))"
house,"POLYGON ((72.9931726 33.687104, 72.9932782 33.6869563, 72.9933956 33.6870144, 72.9932899 33.6871621, 72.9931726 33.687104))"
house,"POLYGON ((72.9925796 33.6870662, 72.9924672 33.6872152, 72.9923681 33.6871634, 72.9924805 33.6870144, 72.9925796 33.6870662))"
house,"POLYGON ((72.9928621 33.6872062, 72.9927497 33.6873552, 72.9926506 33.6873034, 72.9927631 33.6871544, 72.9928621 33.6872062))"
house,"POLYGON ((72.9927189 33.6871402, 72.9926065 33.6872892, 72.9925074 33.6872374, 72.9926199 33.6870884, 72.9927189 33.6871402))"
house,"POLYGON ((72.9929915 33.6872734, 72.9928791 33.6874224, 72.99278 33.6873706, 72.9928925 33.6872216, 72.9929915 33.6872734))"
house,"POLYGON ((72.9932581 33.6874139, 72.9931457 33.6875629, 72.9930466 33.6875111, 72.993159 33.6873621, 72.9932581 33.6874139))"
house,"POLYGON ((72.9933974 33.6874879, 72.993285 33.6876369, 72.9931859 33.6875851, 72.9932984 33.6874361, 72.9933974 33.6874879))"
house,"POLYGON ((72.9928788 33.6874511, 72.9927664 33.6876001, 72.9926673 33.6875483, 72.9927797 33.6873993, 72.9928788 33.6874511))"
house,"POLYGON ((72.9929968 33.6875183, 72.9928844 33.6876673, 72.9927853 33.6876155, 72.9928977 33.6874665, 72.9929968 33.6875183))"
house,"POLYGON ((72.9931294 33.6876182, 72.993017 33.6877672, 72.9929179 33.6877154, 72.9930303 33.6875664, 72.9931294 33.6876182))"
house,"POLYGON ((72.9930113 33.6880421, 72.9928989 33.6881911, 72.9927998 33.6881393, 72.9929122 33.6879903, 72.9930113 33.6880421))"
house,"POLYGON ((72.9928684 33.6879697, 72.992756 33.6881187, 72.9926569 33.6880669, 72.9927693 33.6879179, 72.9928684 33.6879697))"
house,"POLYGON ((72.9925786 33.6880886, 72.9924662 33.6882376, 72.9923671 33.6881858, 72.9924795 33.6880368, 72.9925786 33.6880886))"
house,"POLYGON ((72.9927339 33.6878904, 72.9926215 33.6880394, 72.9925224 33.6879876, 72.9926348 33.6878386, 72.9927339 33.6878904))"
house,"POLYGON ((72.9922203 33.6878532, 72.9920828 33.6880262, 72.991959 33.6879581, 72.9920965 33.687785, 72.9922203 33.6878532))"
house,"POLYGON ((72.9925972 33.6878198, 72.9924848 33.6879688, 72.9923857 33.687917, 72.9924981 33.687768, 72.9925972 33.6878198))"
house,"POLYGON ((72.9928684 33.6882212, 72.992756 33.6883703, 72.9926569 33.6883185, 72.9927693 33.6881694, 72.9928684 33.6882212))"
yes,"POLYGON ((72.9910512 33.6875402, 72.9913678 33.6870792, 72.9916969 33.6872768, 72.9918968 33.68736, 72.9916011 33.6878244, 72.9913761 33.687717, 72.9912033 33.6876286, 72.9910512 33.6875402))"
house,"POLYGON ((72.9938041 33.6862191, 72.9936917 33.6863681, 72.9935926 33.6863163, 72.993705 33.6861673, 72.9938041 33.6862191))"
house,"POLYGON ((72.9939434 33.6862931, 72.993831 33.6864421, 72.9937319 33.6863903, 72.9938444 33.6862413, 72.9939434 33.6862931))"
house,"POLYGON ((72.9940865 33.6863591, 72.9939741 33.6865081, 72.993875 33.6864563, 72.9939875 33.6863073, 72.9940865 33.6863591))"
house,"POLYGON ((72.9942159 33.6864263, 72.9941035 33.6865753, 72.9940044 33.6865235, 72.9941169 33.6863745, 72.9942159 33.6864263))"
house,"POLYGON ((72.9936503 33.6864279, 72.9935379 33.6865769, 72.9934388 33.6865251, 72.9935512 33.6863761, 72.9936503 33.6864279))"
house,"POLYGON ((72.9937896 33.6865019, 72.9936772 33.6866509, 72.9935781 33.6865991, 72.9936906 33.6864501, 72.9937896 33.6865019))"
house,"POLYGON ((72.9939327 33.6865679, 72.9938203 33.6867169, 72.9937212 33.6866651, 72.9938337 33.6865161, 72.9939327 33.6865679))"
house,"POLYGON ((72.9940621 33.6866351, 72.9939497 33.6867841, 72.9938506 33.6867323, 72.9939631 33.6865833, 72.9940621 33.6866351))"
house,"POLYGON ((72.9949009 33.6859876, 72.9947885 33.6861366, 72.9946894 33.6860848, 72.9948018 33.6859358, 72.9949009 33.6859876))"
house,"POLYGON ((72.9950402 33.6860616, 72.9949278 33.6862106, 72.9948287 33.6861588, 72.9949412 33.6860098, 72.9950402 33.6860616))"
house,"POLYGON ((72.9951833 33.6861275, 72.9950709 33.6862766, 72.9949718 33.6862248, 72.9950843 33.6860757, 72.9951833 33.6861275))"
house,"POLYGON ((72.9953127 33.6861947, 72.9952003 33.6863438, 72.9951012 33.6862919, 72.9952137 33.6861429, 72.9953127 33.6861947))"
house,"POLYGON ((72.9954715 33.686274, 72.995359 33.686423, 72.99526 33.6863712, 72.9953724 33.6862222, 72.9954715 33.686274))"
house,"POLYGON ((72.9956113 33.6863528, 72.9954989 33.6865018, 72.9953998 33.68645, 72.9955122 33.686301, 72.9956113 33.6863528))"
house,"POLYGON ((72.9957506 33.6864268, 72.9956382 33.6865758, 72.9955391 33.686524, 72.9956516 33.686375, 72.9957506 33.6864268))"
house,"POLYGON ((72.9958918 33.6864906, 72.9957793 33.6866396, 72.9956803 33.6865878, 72.9957927 33.6864388, 72.9958918 33.6864906))"
house,"POLYGON ((72.9960316 33.6865694, 72.9959192 33.6867184, 72.9958201 33.6866666, 72.9959325 33.6865176, 72.9960316 33.6865694))"
house,"POLYGON ((72.9950514 33.6857812, 72.994939 33.6859302, 72.9948399 33.6858784, 72.9949523 33.6857294, 72.9950514 33.6857812))"
house,"POLYGON ((72.9951907 33.6858552, 72.9950783 33.6860042, 72.9949792 33.6859524, 72.9950917 33.6858034, 72.9951907 33.6858552))"
house,"POLYGON ((72.9953338 33.6859212, 72.9952214 33.6860702, 72.9951223 33.6860184, 72.9952348 33.6858694, 72.9953338 33.6859212))"
house,"POLYGON ((72.9954632 33.6859884, 72.9953508 33.6861374, 72.9952517 33.6860856, 72.9953642 33.6859366, 72.9954632 33.6859884))"
house,"POLYGON ((72.995622 33.6860676, 72.9955095 33.6862166, 72.9954105 33.6861648, 72.9955229 33.6860158, 72.995622 33.6860676))"
house,"POLYGON ((72.9957618 33.6861464, 72.9956494 33.6862954, 72.9955503 33.6862436, 72.9956627 33.6860946, 72.9957618 33.6861464))"
house,"POLYGON ((72.9959011 33.6862204, 72.9957887 33.6863694, 72.9956896 33.6863176, 72.9958021 33.6861686, 72.9959011 33.6862204))"
house,"POLYGON ((72.9960423 33.6862843, 72.9959298 33.6864333, 72.9958308 33.6863815, 72.9959432 33.6862325, 72.9960423 33.6862843))"
house,"POLYGON ((72.9961821 33.6863631, 72.9960697 33.6865121, 72.9959706 33.6864603, 72.996083 33.6863113, 72.9961821 33.6863631))"
house,"POLYGON ((72.9949092 33.685241, 72.9947968 33.68539, 72.9946977 33.6853382, 72.9948101 33.6851892, 72.9949092 33.685241))"
house,"POLYGON ((72.9950485 33.685315, 72.9949361 33.685464, 72.994837 33.6854122, 72.9949495 33.6852632, 72.9950485 33.685315))"
house,"POLYGON ((72.9951917 33.685381, 72.9950793 33.68553, 72.9949802 33.6854782, 72.9950927 33.6853292, 72.9951917 33.685381))"
house,"POLYGON ((72.9953211 33.6854482, 72.9952087 33.6855972, 72.9951096 33.6855454, 72.9952221 33.6853964, 72.9953211 33.6854482))"
house,"POLYGON ((72.9954799 33.6855274, 72.9953674 33.6856764, 72.9952684 33.6856246, 72.9953808 33.6854756, 72.9954799 33.6855274))"
house,"POLYGON ((72.9956197 33.6856062, 72.9955073 33.6857552, 72.9954082 33.6857034, 72.9955206 33.6855544, 72.9956197 33.6856062))"
house,"POLYGON ((72.995759 33.6856802, 72.9956466 33.6858292, 72.9955475 33.6857774, 72.99566 33.6856284, 72.995759 33.6856802))"
house,"POLYGON ((72.9959002 33.685744, 72.9957877 33.6858931, 72.9956887 33.6858412, 72.9958011 33.6856922, 72.9959002 33.685744))"
house,"POLYGON ((72.99604 33.6858228, 72.9959276 33.6859719, 72.9958285 33.6859201, 72.9959409 33.685771, 72.99604 33.6858228))"
house,"POLYGON ((72.9950597 33.6850393, 72.9949473 33.6851883, 72.9948482 33.6851365, 72.9949606 33.6849875, 72.9950597 33.6850393))"
house,"POLYGON ((72.995199 33.6851133, 72.9950866 33.6852623, 72.9949875 33.6852105, 72.9951 33.6850615, 72.995199 33.6851133))"
house,"POLYGON ((72.9953421 33.6851793, 72.9952297 33.6853283, 72.9951306 33.6852765, 72.9952431 33.6851274, 72.9953421 33.6851793))"
house,"POLYGON ((72.9954715 33.6852464, 72.9953591 33.6853955, 72.99526 33.6853437, 72.9953725 33.6851946, 72.9954715 33.6852464))"
house,"POLYGON ((72.9956303 33.6853257, 72.9955178 33.6854747, 72.9954188 33.6854229, 72.9955312 33.6852739, 72.9956303 33.6853257))"
house,"POLYGON ((72.9957701 33.6854045, 72.9956577 33.6855535, 72.9955586 33.6855017, 72.995671 33.6853527, 72.9957701 33.6854045))"
house,"POLYGON ((72.9959094 33.6854785, 72.995797 33.6856275, 72.9956979 33.6855757, 72.9958104 33.6854267, 72.9959094 33.6854785))"
house,"POLYGON ((72.9960506 33.6855423, 72.9959381 33.6856913, 72.9958391 33.6856395, 72.9959515 33.6854905, 72.9960506 33.6855423))"
house,"POLYGON ((72.9961904 33.6856211, 72.996078 33.6857701, 72.9959789 33.6857183, 72.9960913 33.6855693, 72.9961904 33.6856211))"
house,"POLYGON ((72.9963133 33.6856861, 72.9962009 33.6858351, 72.9961018 33.6857833, 72.9962142 33.6856343, 72.9963133 33.6856861))"
house,"POLYGON ((72.9961628 33.6858878, 72.9960504 33.6860368, 72.9959513 33.685985, 72.9960637 33.685836, 72.9961628 33.6858878))"
house,"POLYGON ((72.9964044 33.6860295, 72.9962892 33.6861758, 72.9960852 33.6860646, 72.9962004 33.6859183, 72.9964044 33.6860295))"
house,"POLYGON ((72.9965587 33.6858186, 72.9964435 33.6859649, 72.9962395 33.6858537, 72.9963548 33.6857074, 72.9965587 33.6858186))"
house,"POLYGON ((72.9956985 33.6848928, 72.995588 33.6850457, 72.9954484 33.6849758, 72.9955589 33.6848229, 72.9956985 33.6848928))"
house,"POLYGON ((72.9958612 33.6849896, 72.9957488 33.6851386, 72.9956497 33.6850868, 72.9957622 33.6849378, 72.9958612 33.6849896))"
house,"POLYGON ((72.9959906 33.6850568, 72.9958782 33.6852058, 72.9957791 33.685154, 72.9958916 33.685005, 72.9959906 33.6850568))"
house,"POLYGON ((72.9961494 33.685136, 72.9960369 33.685285, 72.9959379 33.6852332, 72.9960503 33.6850842, 72.9961494 33.685136))"
house,"POLYGON ((72.9962892 33.6852148, 72.9961768 33.6853638, 72.9960777 33.685312, 72.9961901 33.685163, 72.9962892 33.6852148))"
house,"POLYGON ((72.9964285 33.6852888, 72.9963161 33.6854378, 72.996217 33.685386, 72.9963295 33.685237, 72.9964285 33.6852888))"
house,"POLYGON ((72.9965697 33.6853527, 72.9964572 33.6855017, 72.9963582 33.6854499, 72.9964706 33.6853009, 72.9965697 33.6853527))"
house,"POLYGON ((72.9962993 33.6849452, 72.9961868 33.6850942, 72.9960878 33.6850424, 72.9962002 33.6848934, 72.9962993 33.6849452))"
house,"POLYGON ((72.9964391 33.685024, 72.9963267 33.685173, 72.9962276 33.6851212, 72.99634 33.6849722, 72.9964391 33.685024))"
house,"POLYGON ((72.9965784 33.685098, 72.996466 33.685247, 72.9963669 33.6851952, 72.9964794 33.6850462, 72.9965784 33.685098))"
house,"POLYGON ((72.9967196 33.6851618, 72.9966071 33.6853109, 72.9965081 33.6852591, 72.9966205 33.68511, 72.9967196 33.6851618))"
house,"POLYGON ((72.996831 33.6854983, 72.9967158 33.6856447, 72.9965118 33.6855335, 72.9966271 33.6853871, 72.996831 33.6854983))"
house,"POLYGON ((72.9969822 33.6852877, 72.996867 33.685434, 72.996663 33.6853228, 72.9967782 33.6851765, 72.9969822 33.6852877))"
house,"POLYGON ((72.997219 33.6849527, 72.9971038 33.685099, 72.9968998 33.6849878, 72.997015 33.6848415, 72.997219 33.6849527))"
house,"POLYGON ((72.9973829 33.6847617, 72.9972677 33.6849081, 72.9970637 33.6847969, 72.997179 33.6846505, 72.9973829 33.6847617))"
house,"POLYGON ((72.9976343 33.6844329, 72.9975191 33.6845792, 72.9973151 33.684468, 72.9974303 33.6843216, 72.9976343 33.6844329))"
house,"POLYGON ((72.9965415 33.6845945, 72.9964291 33.6847435, 72.99633 33.6846917, 72.9964425 33.6845427, 72.9965415 33.6845945))"
house,"POLYGON ((72.9966709 33.6846617, 72.9965585 33.6848107, 72.9964594 33.6847589, 72.9965719 33.6846099, 72.9966709 33.6846617))"
house,"POLYGON ((72.9968297 33.684741, 72.9967172 33.68489, 72.9966182 33.6848382, 72.9967306 33.6846892, 72.9968297 33.684741))"
house,"POLYGON ((72.9969695 33.6848198, 72.9968571 33.6849688, 72.996758 33.684917, 72.9968704 33.684768, 72.9969695 33.6848198))"
house,"POLYGON ((72.9967032 33.6844042, 72.9965908 33.6845532, 72.9964917 33.6845014, 72.9966042 33.6843524, 72.9967032 33.6844042))"
house,"POLYGON ((72.9968326 33.6844714, 72.9967202 33.6846204, 72.9966211 33.6845686, 72.9967336 33.6844196, 72.9968326 33.6844714))"
house,"POLYGON ((72.9969914 33.6845506, 72.9968789 33.6846996, 72.9967799 33.6846478, 72.9968923 33.6844988, 72.9969914 33.6845506))"
house,"POLYGON ((72.9971631 33.6843543, 72.9972552 33.6842336, 72.9973822 33.6843008, 72.9972901 33.6844214, 72.9971631 33.6843543))"
house,"POLYGON ((72.9972384 33.6841938, 72.9971259 33.6843428, 72.9970269 33.684291, 72.9971393 33.6841419, 72.9972384 33.6841938))"
house,"POLYGON ((72.9975122 33.684223, 72.9975834 33.684127, 72.9977938 33.684235, 72.9977225 33.6843311, 72.9975122 33.684223))"
house,"POLYGON ((72.9975757 33.6840896, 72.997647 33.6839936, 72.9978573 33.6841016, 72.997786 33.6841976, 72.9975757 33.6840896))"
house,"POLYGON ((72.9976859 33.6839792, 72.9977572 33.6838832, 72.9979675 33.6839912, 72.9978963 33.6840873, 72.9976859 33.6839792))"
house,"POLYGON ((72.99777 33.6838611, 72.9978413 33.683765, 72.9980516 33.683873, 72.9979803 33.6839691, 72.99777 33.6838611))"
house,"POLYGON ((72.9978634 33.6837429, 72.9979347 33.6836469, 72.998145 33.6837549, 72.9980737 33.683851, 72.9978634 33.6837429))"
house,"POLYGON ((72.9900327 33.6896802, 72.9901326 33.68978, 72.9903301 33.6896431, 72.9902303 33.6895433, 72.9900327 33.6896802))"
house,"POLYGON ((72.9901468 33.6897878, 72.9902467 33.6898875, 72.9904442 33.6897506, 72.9903444 33.6896509, 72.9901468 33.6897878))"
house,"POLYGON ((72.9902689 33.6898879, 72.9903688 33.6899876, 72.9905663 33.6898507, 72.9904665 33.689751, 72.9902689 33.6898879))"
house,"POLYGON ((72.9904092 33.6899911, 72.9904907 33.6900652, 72.9906482 33.6899454, 72.9905668 33.6898713, 72.9904092 33.6899911))"
house,"POLYGON ((72.9898354 33.6894579, 72.9899352 33.6895577, 72.9901327 33.6894208, 72.9900329 33.6893211, 72.9898354 33.6894579))"
yes,"POLYGON ((72.9883511 33.6838922, 72.9882734 33.6837755, 72.9881256 33.6836581, 72.9880766 33.6836251, 72.9882151 33.6835668, 72.9883579 33.6835295, 72.9884356 33.6838712, 72.9883511 33.6838922))"
house,"POLYGON ((72.9857014 33.6892658, 72.9858299 33.6893304, 72.9859833 33.6891188, 72.9858548 33.6890543, 72.9857014 33.6892658))"
house,"POLYGON ((72.9855673 33.6892042, 72.9856958 33.6892687, 72.9858492 33.6890571, 72.9857207 33.6889926, 72.9855673 33.6892042))"
house,"POLYGON ((72.9854404 33.6891362, 72.9855579 33.6891967, 72.9857091 33.6889932, 72.9855915 33.6889327, 72.9854404 33.6891362))"
house,"POLYGON ((72.9853009 33.6890632, 72.9854294 33.6891277, 72.9855829 33.6889161, 72.9854544 33.6888516, 72.9853009 33.6890632))"
house,"POLYGON ((72.9847573 33.6887896, 72.9848858 33.6888542, 72.9850392 33.6886426, 72.9849107 33.6885781, 72.9847573 33.6887896))"
house,"POLYGON ((72.9849016 33.6888666, 72.9850163 33.688922, 72.9851621 33.6887129, 72.9850474 33.6886575, 72.9849016 33.6888666))"
house,"POLYGON ((72.9850236 33.6889307, 72.9851522 33.6889952, 72.9853056 33.6887836, 72.9851771 33.6887191, 72.9850236 33.6889307))"
house,"POLYGON ((72.9851577 33.6889923, 72.9852863 33.6890569, 72.9854397 33.6888453, 72.9853112 33.6887807, 72.9851577 33.6889923))"
house,"POLYGON ((72.9841585 33.6884837, 72.984287 33.6885483, 72.9844405 33.6883367, 72.984312 33.6882722, 72.9841585 33.6884837))"
house,"POLYGON ((72.9843 33.6885614, 72.9844205 33.6886213, 72.9845697 33.6884135, 72.9844492 33.6883536, 72.9843 33.6885614))"
house,"POLYGON ((72.9844248 33.6886248, 72.9845534 33.6886893, 72.9847068 33.6884777, 72.9845783 33.6884132, 72.9844248 33.6886248))"
house,"POLYGON ((72.9845589 33.6886864, 72.9846875 33.688751, 72.9848409 33.6885394, 72.9847124 33.6884748, 72.9845589 33.6886864))"
house,"POLYGON ((72.9837703 33.688261, 72.9838915 33.688323, 72.9840362 33.6881269, 72.9839151 33.688065, 72.9837703 33.688261))"
house,"POLYGON ((72.9838921 33.6883409, 72.9840206 33.6884054, 72.9841741 33.6881938, 72.9840456 33.6881293, 72.9838921 33.6883409))"
house,"POLYGON ((72.9840262 33.6884025, 72.9841547 33.6884671, 72.9843082 33.6882555, 72.9841797 33.6881909, 72.9840262 33.6884025))"
house,"POLYGON ((72.9835201 33.687784, 72.9836486 33.6878486, 72.983802 33.687637, 72.9836735 33.6875724, 72.9835201 33.687784))"
house,"POLYGON ((72.9836612 33.6878596, 72.9837767 33.6879189, 72.9839272 33.6877161, 72.9838116 33.6876568, 72.9836612 33.6878596))"
house,"POLYGON ((72.9837864 33.6879251, 72.983915 33.6879896, 72.9840684 33.687778, 72.9839399 33.6877135, 72.9837864 33.6879251))"
house,"POLYGON ((72.984077 33.6880808, 72.9842056 33.6881453, 72.984359 33.6879337, 72.9842305 33.6878692, 72.984077 33.6880808))"
house,"POLYGON ((72.9843434 33.6882218, 72.9844719 33.6882864, 72.9846254 33.6880748, 72.9844969 33.6880102, 72.9843434 33.6882218))"
house,"POLYGON ((72.9846551 33.6883803, 72.9847593 33.6884351, 72.9849188 33.688225, 72.9848145 33.6881702, 72.9846551 33.6883803))"
house,"POLYGON ((72.9847903 33.6884416, 72.9849188 33.6885062, 72.9850723 33.6882946, 72.9849438 33.68823, 72.9847903 33.6884416))"
house,"POLYGON ((72.9849244 33.6885033, 72.9850529 33.6885678, 72.9852063 33.6883562, 72.9850778 33.6882917, 72.9849244 33.6885033))"
house,"POLYGON ((72.9850566 33.6885845, 72.9851852 33.688649, 72.9853386 33.6884374, 72.9852101 33.6883729, 72.9850566 33.6885845))"
house,"POLYGON ((72.9851941 33.6886631, 72.9853126 33.6887234, 72.9854659 33.6885149, 72.9853474 33.6884546, 72.9851941 33.6886631))"
house,"POLYGON ((72.9854571 33.6887872, 72.9855856 33.6888517, 72.9857391 33.6886401, 72.9856106 33.6885756, 72.9854571 33.6887872))"
house,"POLYGON ((72.985323 33.6887255, 72.9854516 33.6887901, 72.985605 33.6885785, 72.9854765 33.688514, 72.985323 33.6887255))"
house,"POLYGON ((72.9858754 33.6890134, 72.9860039 33.6890779, 72.9861573 33.6888663, 72.9860288 33.6888018, 72.9858754 33.6890134))"
house,"POLYGON ((72.9857529 33.6889593, 72.9858693 33.6890144, 72.9860106 33.6888079, 72.9858942 33.6887527, 72.9857529 33.6889593))"
house,"POLYGON ((72.9856114 33.6888895, 72.9857399 33.688954, 72.9858934 33.6887424, 72.9857649 33.6886779, 72.9856114 33.6888895))"
house,"POLYGON ((72.9861132 33.6891456, 72.9862418 33.6892101, 72.9863952 33.6889985, 72.9862667 33.688934, 72.9861132 33.6891456))"
house,"POLYGON ((72.9859173 33.6894094, 72.9860458 33.6894739, 72.9861993 33.6892623, 72.9860708 33.6891978, 72.9859173 33.6894094))"
house,"POLYGON ((72.9833262 33.6880539, 72.9834548 33.6881184, 72.9836082 33.6879068, 72.9834797 33.6878423, 72.9833262 33.6880539))"
house,"POLYGON ((72.9834759 33.6881198, 72.9836045 33.6881844, 72.9837579 33.6879728, 72.9836294 33.6879083, 72.9834759 33.6881198))"
house,"POLYGON ((72.9839316 33.6880063, 72.9840602 33.6880708, 72.9842136 33.6878592, 72.9840851 33.6877947, 72.9839316 33.6880063))"
house,"POLYGON ((72.983794 33.6873885, 72.9838896 33.6872562, 72.9839839 33.6873033, 72.9838884 33.6874357, 72.983794 33.6873885))"
house,"POLYGON ((72.9840592 33.6875265, 72.9841541 33.6874014, 72.9842338 33.6874433, 72.9841389 33.6875684, 72.9840592 33.6875265))"
house,"POLYGON ((72.9839801 33.6874825, 72.984075 33.6873574, 72.9841548 33.6873993, 72.9840599 33.6875244, 72.9839801 33.6874825))"
house,"POLYGON ((72.9838953 33.6874361, 72.9839902 33.687311, 72.9840699 33.6873529, 72.983975 33.6874779, 72.9838953 33.6874361))"
house,"POLYGON ((72.9842915 33.6876569, 72.9843871 33.6875246, 72.9844814 33.6875717, 72.9843858 33.6877041, 72.9842915 33.6876569))"
house,"POLYGON ((72.9844776 33.6877509, 72.9845725 33.6876258, 72.9846522 33.6876677, 72.9845573 33.6877928, 72.9844776 33.6877509))"
house,"POLYGON ((72.9843928 33.6877045, 72.9844876 33.6875794, 72.9845674 33.6876213, 72.9844725 33.6877463, 72.9843928 33.6877045))"
house,"POLYGON ((72.9846401 33.6878329, 72.9847357 33.6877006, 72.98483 33.6877477, 72.9847345 33.68788, 72.9846401 33.6878329))"
house,"POLYGON ((72.9848262 33.6879269, 72.9849211 33.6878018, 72.9850009 33.6878437, 72.9849059 33.6879687, 72.9848262 33.6879269))"
house,"POLYGON ((72.9849053 33.6879709, 72.9850002 33.6878458, 72.9850799 33.6878877, 72.984985 33.6880128, 72.9849053 33.6879709))"
house,"POLYGON ((72.9849852 33.6880188, 72.9850835 33.6878928, 72.9851575 33.6879327, 72.9850591 33.6880587, 72.9849852 33.6880188))"
house,"POLYGON ((72.9851061 33.6880814, 72.9852017 33.6879491, 72.985296 33.6879962, 72.9852005 33.6881286, 72.9851061 33.6880814))"
house,"POLYGON ((72.9852922 33.6881754, 72.9853871 33.6880503, 72.9854669 33.6880922, 72.985372 33.6882172, 72.9852922 33.6881754))"
house,"POLYGON ((72.9853713 33.6882194, 72.9854662 33.6880943, 72.9855459 33.6881362, 72.985451 33.6882613, 72.9853713 33.6882194))"
house,"POLYGON ((72.9852074 33.688129, 72.9853023 33.6880039, 72.985382 33.6880458, 72.9852871 33.6881708, 72.9852074 33.688129))"
house,"POLYGON ((72.9856385 33.6883533, 72.9857334 33.6882282, 72.9858132 33.6882701, 72.9857183 33.6883952, 72.9856385 33.6883533))"
house,"POLYGON ((72.9857176 33.6883973, 72.9858125 33.6882723, 72.9858922 33.6883141, 72.9857973 33.6884392, 72.9857176 33.6883973))"
