building,geometry
yes,"POLYGON ((73.0892438 33.7434527, 73.0892837 33.7434305, 73.089304 33.7434556, 73.0894124 33.7433953, 73.0893811 33.7433565, 73.0894149 33.7433377, 73.0893915 33.7433086, 73.0894606 33.7432701, 73.089524 33.7433488, 73.0895695 33.7433234, 73.0896272 33.743395, 73.089567 33.7434286, 73.0896158 33.7434891, 73.0896624 33.7434632, 73.0897051 33.7435162, 73.0896746 33.7435332, 73.0897022 33.7435674, 73.0897636 33.7435332, 73.0897479 33.7435138, 73.0897787 33.7434966, 73.0898009 33.7435241, 73.0899048 33.7434662, 73.0898814 33.7434372, 73.0899533 33.7433971, 73.0899266 33.7433641, 73.0899712 33.7433393, 73.089944 33.7433055, 73.0899848 33.7432827, 73.0899249 33.7432084, 73.0898789 33.743234, 73.0898539 33.743203, 73.0898336 33.7432143, 73.0898116 33.743187, 73.0898616 33.7431591, 73.0898272 33.7431165, 73.0898548 33.7431011, 73.0898723 33.7431227, 73.0900424 33.7430278, 73.0900202 33.7430002, 73.0900461 33.7429857, 73.0899927 33.7429195, 73.0900231 33.7429025, 73.0899727 33.74284, 73.0899309 33.7428633, 73.0898849 33.7428062, 73.089913 33.7427905, 73.0898769 33.7427459, 73.0898464 33.742763, 73.0898252 33.7427367, 73.0897196 33.7427957, 73.0897465 33.742829, 73.0897158 33.7428462, 73.0897479 33.7428859, 73.0897108 33.7429067, 73.0896622 33.7428465, 73.0894949 33.74294, 73.0894497 33.742884, 73.0893594 33.7429345, 73.0894103 33.7429975, 73.0892719 33.7430748, 73.0893424 33.743162, 73.0892943 33.7431889, 73.0892577 33.7431436, 73.0892289 33.7431597, 73.0892064 33.7431319, 73.0890827 33.743201, 73.0891122 33.7432375, 73.0890827 33.743254, 73.0891238 33.743305, 73.0890936 33.7433218, 73.0891682 33.7434143, 73.089199 33.7433971, 73.0892438 33.7434527), (73.0892007 33.7433054, 73.0892308 33.7432871, 73.0892525 33.7433119, 73.0892225 33.7433302, 73.0892007 33.7433054))"
yes,"POLYGON ((73.0892023 33.7433495, 73.0892572 33.7433596, 73.0892999 33.743336, 73.0893141 33.7432903, 73.0892857 33.7432548, 73.0892288 33.7432464, 73.0891861 33.7432684, 73.0891718 33.743314, 73.0892023 33.7433495))"
residential,"POLYGON ((73.0927199 33.7417976, 73.0926772 33.7417973, 73.0926781 33.7417007, 73.0927355 33.7417011, 73.0927403 33.741223, 73.0925504 33.7412217, 73.0925509 33.7411727, 73.0924135 33.7411717, 73.0924133 33.7411911, 73.0923791 33.7411908, 73.0923793 33.7411772, 73.0922741 33.7411765, 73.0922736 33.7412265, 73.0921176 33.7412254, 73.0921169 33.7412857, 73.0920876 33.741303, 73.0921149 33.7413028, 73.092115 33.7413174, 73.0920891 33.7413176, 73.0920897 33.7413673, 73.0921156 33.7413671, 73.0921157 33.7413712, 73.0920904 33.7413714, 73.092091 33.7414328, 73.0921122 33.7414327, 73.0921122 33.741436, 73.0920904 33.7414361, 73.0920907 33.7414971, 73.0921131 33.741497, 73.0921131 33.7415003, 73.09209 33.7415003, 73.09209 33.7415644, 73.0921145 33.7415644, 73.0921144 33.7415664, 73.0920896 33.7415662, 73.092089 33.7416258, 73.0921102 33.7416259, 73.0921102 33.7416314, 73.092084 33.7416311, 73.0920819 33.7417704, 73.0922185 33.7417718, 73.0922182 33.7417906, 73.0923566 33.7417922, 73.0923562 33.7418159, 73.0920906 33.7418128, 73.0920899 33.7418536, 73.0921168 33.7418539, 73.0921167 33.7418621, 73.0920884 33.7418618, 73.0920874 33.7419224, 73.092115 33.7419228, 73.0921208 33.7419325, 73.0920892 33.7419324, 73.092089 33.7419825, 73.0921176 33.7419825, 73.0921176 33.7419941, 73.0920896 33.741994, 73.0920894 33.7420491, 73.0921118 33.7420491, 73.0921118 33.7420588, 73.0920852 33.7420588, 73.0920849 33.7421153, 73.0921109 33.7421154, 73.0921108 33.7421286, 73.0920854 33.7421286, 73.0920852 33.7421781, 73.0920739 33.742178, 73.0920739 33.7421862, 73.0920982 33.7421863, 73.0920978 33.7422529, 73.0922611 33.7422536, 73.0922608 33.7423118, 73.0922521 33.7423118, 73.0922519 33.7423436, 73.0923908 33.7423442, 73.0923909 33.7423225, 73.0923948 33.7423226, 73.0923946 33.7423443, 73.092533 33.7423452, 73.0925339 33.7422472, 73.0926781 33.7422481, 73.0926787 33.742185, 73.0927161 33.7421852, 73.0927199 33.7417976), (73.0923001 33.7414673, 73.0923008 33.7413291, 73.0925056 33.7413298, 73.0925049 33.741468, 73.0923001 33.7414673), (73.0922947 33.7421469, 73.0922954 33.7420087, 73.0925002 33.7420094, 73.0924995 33.7421476, 73.0922947 33.7421469))"
yes,"POLYGON ((73.1055835 33.7129432, 73.1058737 33.7130898, 73.1060438 33.7128568, 73.1057535 33.7127102, 73.1055835 33.7129432), (73.1057881 33.7127928, 73.1059444 33.7128759, 73.1058395 33.7130125, 73.1056832 33.7129294, 73.1057881 33.7127928))"
yes,"POLYGON ((73.0165179 33.7155959, 73.0161469 33.7155025, 73.016109 33.7156066, 73.0161376 33.7156138, 73.0161226 33.7156549, 73.0169673 33.7158676, 73.0169769 33.7158412, 73.0170196 33.715852, 73.0170249 33.7158376, 73.0170599 33.7158464, 73.0170666 33.7158278, 73.0171348 33.715845, 73.017164 33.7157646, 73.0170959 33.7157474, 73.0171743 33.715532, 73.0172384 33.7155481, 73.0172672 33.7154691, 73.0172031 33.715453, 73.0172235 33.7153969, 73.0171458 33.7153773, 73.0171574 33.7153454, 73.0162855 33.7151259, 73.0162364 33.7152608, 73.016606 33.7153538, 73.0165179 33.7155959), (73.0170062 33.7154546, 73.0169181 33.7156967, 73.0166011 33.7156169, 73.0166254 33.71555, 73.016674 33.7155622, 73.016705 33.715477, 73.0166564 33.7154648, 73.0166892 33.7153748, 73.0170062 33.7154546))"
yes,"MULTIPOLYGON (((72.9904776 33.6916264, 72.9904865 33.6915729, 72.9904518 33.691569, 72.9904309 33.6916956, 72.9905582 33.6917101, 72.9905703 33.691637, 72.9904776 33.6916264)), ((72.990438 33.6917042, 72.9902416 33.6917045, 72.9902402 33.6919299, 72.9904378 33.6919298, 72.990438 33.6917042)))"
college,"POLYGON ((73.0075703 33.6957564, 73.0075933 33.6957683, 73.0075522 33.695823, 73.0080276 33.69607, 73.0081206 33.6959461, 73.0080643 33.6959168, 73.0084035 33.695465, 73.0080422 33.6952772, 73.0079675 33.6953767, 73.0078375 33.6953092, 73.0077203 33.6954653, 73.0076356 33.6954213, 73.007578 33.695498, 73.0076638 33.6955426, 73.0075887 33.6956427, 73.0075712 33.695666, 73.0076194 33.6956911, 73.0075703 33.6957564), (73.007938 33.6954197, 73.0081634 33.6955345, 73.0080735 33.6956568, 73.0077649 33.6954997, 73.0078012 33.6954502, 73.0078845 33.6954925, 73.007938 33.6954197), (73.0077319 33.6957053, 73.0077915 33.6956289, 73.0078283 33.695622, 73.0080084 33.6957215, 73.0080117 33.6957514, 73.0079565 33.6958235, 73.0079211 33.6958319, 73.0077378 33.6957331, 73.0077319 33.6957053))"
yes,"MULTIPOLYGON (((73.0510391 33.7210902, 73.0511806 33.7211903, 73.0512152 33.7212043, 73.0513355 33.7210574, 73.0513134 33.7210402, 73.0511614 33.720956, 73.0511542 33.720955, 73.0511485 33.7209566, 73.0511419 33.720961, 73.0510391 33.7210902)), ((73.0509797 33.7210781, 73.0509467 33.7211199, 73.0509303 33.7211109, 73.0509078 33.7211394, 73.0509246 33.7211486, 73.0509129 33.7211635, 73.0508935 33.7211528, 73.0508727 33.7211791, 73.0509748 33.7212349, 73.0510628 33.7211236, 73.0509797 33.7210781)))"
yes,"POLYGON ((73.0696186 33.6776899, 73.0696068 33.6776479, 73.0694309 33.6776821, 73.0694177 33.6776742, 73.0693753 33.6775313, 73.069326 33.6775415, 73.0693133 33.6774985, 73.0692632 33.6775088, 73.0692538 33.6774771, 73.069077 33.6775134, 73.069087 33.6775471, 73.0690365 33.6775574, 73.0690492 33.6776004, 73.0690007 33.6776103, 73.0690414 33.6777475, 73.0690317 33.6777598, 73.0688562 33.6777949, 73.0688674 33.6778335, 73.0688002 33.677847, 73.0688642 33.6780686, 73.0689183 33.6780578, 73.0689316 33.6781039, 73.0690765 33.6780749, 73.0691363 33.6781081, 73.0691684 33.6782227, 73.0692151 33.6782137, 73.0692271 33.6782565, 73.0692716 33.6782479, 73.0692827 33.6782873, 73.0694689 33.6782512, 73.0694568 33.6782083, 73.0695066 33.6781987, 73.0694941 33.6781543, 73.0695463 33.6781442, 73.0695028 33.6779888, 73.0696756 33.6779552, 73.0696643 33.6779149, 73.0697165 33.6779047, 73.0697041 33.6778608, 73.0697546 33.677851, 73.0697167 33.6777159, 73.0696722 33.6777251, 73.0696597 33.677682, 73.0696186 33.6776899), (73.0691577 33.6778185, 73.0693404 33.6777822, 73.0693821 33.6779274, 73.0691994 33.6779637, 73.0691577 33.6778185))"
school,"POLYGON ((73.0414385 33.7073017, 73.0414015 33.7073577, 73.041356 33.7073364, 73.0413748 33.7073103, 73.0412387 33.7072407, 73.041096 33.7074412, 73.041176 33.7074799, 73.0411197 33.707558, 73.0415945 33.7078135, 73.0416344 33.7077644, 73.0417923 33.7078453, 73.0416264 33.7080563, 73.0418896 33.7081956, 73.0419534 33.7081107, 73.0417907 33.7080258, 73.0418513 33.7079488, 73.0421025 33.7080795, 73.0421431 33.7080244, 73.0420474 33.7079747, 73.0420602 33.7079574, 73.0416758 33.7077564, 73.0418146 33.707576, 73.0419549 33.7076516, 73.041939 33.7076715, 73.0421511 33.7077843, 73.0421144 33.7078347, 73.0421431 33.7078506, 73.0420644 33.7079616, 73.0421562 33.7080093, 73.042273 33.7078492, 73.042348 33.7078886, 73.0422417 33.7080353, 73.0421886 33.7080093, 73.0421251 33.7080921, 73.0424162 33.7082412, 73.0424779 33.7081584, 73.0423385 33.7080835, 73.0424817 33.7078918, 73.0424684 33.7078847, 73.0424883 33.7078578, 73.0423631 33.7077908, 73.042328 33.7078381, 73.0422892 33.7078192, 73.042328 33.7077703, 73.0420009 33.7075951, 73.0420862 33.7074894, 73.0419885 33.7074413, 73.0419743 33.707461, 73.0417638 33.7073522, 73.0417316 33.7073987, 73.0417173 33.7073924, 73.0416927 33.7074255, 73.0414385 33.7073017), (73.0415308 33.7076492, 73.041522 33.7076592, 73.0412764 33.7075338, 73.0412644 33.707551, 73.041203 33.7075212, 73.0412166 33.7075026, 73.0412541 33.7075212, 73.041349 33.7073918, 73.0414295 33.7074316, 73.0414471 33.7074077, 73.0416982 33.7075409, 73.0415986 33.7076844, 73.0415308 33.7076492))"
