landuse,geometry
forest,"POLYGON ((72.9540219 33.6451487, 72.9551894 33.6456993, 72.95898 33.640547, 72.9578923 33.6399705, 72.9540219 33.6451487))"
farmland,"POLYGON ((73.0859343 33.745545, 73.0863715 33.7455205, 73.086283 33.7445146, 73.0858297 33.7445436, 73.0859343 33.745545))"
industrial,"POLYGON ((73.0408706 33.6675936, 73.041804 33.668049, 73.0429198 33.6665668, 73.042083 33.6660489, 73.0408706 33.6675936))"
grass,"POLYGON ((73.1553337 33.6508075, 73.1554115 33.6507416, 73.1554632 33.6507846, 73.1555188 33.6508198, 73.1555772 33.65086, 73.1556422 33.6508979, 73.1557283 33.6509333, 73.1557623 33.6509476, 73.1558433 33.6510163, 73.1554655 33.6509273, 73.155433 33.6509442, 73.1553774 33.6508854, 73.1553448 33.6508455, 73.1553337 33.6508075))"
education,"POLYGON ((73.0114761 33.625039, 73.0142009 33.6266132, 73.0100853 33.6318091, 73.0075708 33.6302175, 73.0114761 33.625039))"
retail,"POLYGON ((73.0529322 33.6901278, 73.0547743 33.6910974, 73.0549288 33.6908903, 73.0530976 33.6899134, 73.0529322 33.6901278))"
retail,"POLYGON ((72.9701326 33.6942494, 72.9704238 33.6944175, 72.9708195 33.694611, 72.9701403 33.6954317, 72.9694708 33.695064, 72.9701326 33.6942494))"
retail,"POLYGON ((72.9781066 33.7040598, 72.9789834 33.7028896, 72.9806638 33.7037673, 72.9802537 33.7043016, 72.9800521 33.7045657, 72.9800231 33.7046036, 72.9797652 33.7049403, 72.9781066 33.7040598))"
construction,"POLYGON ((72.9846463 33.7009311, 72.9847273 33.7008188, 72.9849846 33.7009401, 72.9848928 33.7010554, 72.9846463 33.7009311))"
construction,"POLYGON ((72.9848964 33.7010703, 72.9849846 33.7009401, 72.9852616 33.7010643, 72.9851501 33.701205, 72.9848964 33.7010703))"
construction,"POLYGON ((72.9842598 33.7007373, 72.9843523 33.7006101, 72.9846316 33.7007262, 72.9845316 33.7008669, 72.9842598 33.7007373))"
retail,"POLYGON ((72.978666 33.7034968, 72.9788252 33.7035804, 72.9783728 33.7041774, 72.9782192 33.7040938, 72.978666 33.7034968))"
commercial,"POLYGON ((73.0717262 33.6896251, 73.0714306 33.6893037, 73.0712018 33.6889744, 73.0711875 33.68878, 73.0712095 33.6886406, 73.0712676 33.6885179, 73.0713758 33.6883378, 73.0714856 33.6881995, 73.071586 33.6880898, 73.0716848 33.6879946, 73.0718338 33.6878954, 73.0719875 33.6877923, 73.0721412 33.6876905, 73.0723075 33.6875952, 73.0723685 33.6875481, 73.072532 33.6874914, 73.0727228 33.6874623, 73.0729215 33.6874752, 73.0731824 33.6875352, 73.0734414 33.6877717, 73.0735952 33.687924, 73.0738406 33.6881201, 73.0739109 33.6881661, 73.0740139 33.688193, 73.0741365 33.6882189, 73.0742347 33.6883886, 73.0743394 33.6887264, 73.0743687 33.6888832, 73.0717862 33.6897085, 73.0717262 33.6896251))"
residential,"POLYGON ((73.109341 33.5422313, 73.1085381 33.5425242, 73.1086058 33.543299, 73.1089158 33.543166, 73.1095813 33.5428784, 73.109341 33.5422313))"
residential,"POLYGON ((73.1093754 33.542276, 73.1094092 33.5423555, 73.109708 33.5430584, 73.1100942 33.5429958, 73.1097563 33.5421418, 73.1093754 33.542276))"
residential,"POLYGON ((73.110446 33.5429865, 73.1106737 33.5436167, 73.110007 33.5437997, 73.1097061 33.5431152, 73.110446 33.5429865))"
residential,"POLYGON ((73.1107655 33.5441212, 73.1105991 33.5436692, 73.1106737 33.5436167, 73.1106361 33.5434124, 73.1115358 33.5431864, 73.1117576 33.5438644, 73.1107655 33.5441212))"
residential,"POLYGON ((73.1102787 33.5442752, 73.1100753 33.5438233, 73.1105683 33.5436795, 73.1107224 33.5441417, 73.1102787 33.5442752))"
industrial,"POLYGON ((73.1082775 33.5424098, 73.1078859 33.5424992, 73.1078323 33.5432146, 73.1078913 33.5436841, 73.1080081 33.5436713, 73.108299 33.5436394, 73.1082936 33.5433443, 73.1083794 33.5432057, 73.1083687 33.5427452, 73.1082775 33.5424098))"
residential,"POLYGON ((73.1088886 33.5467207, 73.109072 33.5467014, 73.1090412 33.5464985, 73.1088561 33.5465349, 73.1088886 33.5467207))"
residential,"POLYGON ((73.1088514 33.546508, 73.1090381 33.5464754, 73.1089889 33.5462931, 73.1088191 33.5463233, 73.1088514 33.546508))"
commercial,"POLYGON ((73.1073503 33.5437398, 73.1077706 33.5437242, 73.1077099 33.5430937, 73.107285 33.5431053, 73.1073503 33.5437398))"
residential,"POLYGON ((73.1792109 33.5175025, 73.1798654 33.5174578, 73.1806861 33.5172162, 73.1808761 33.5167949, 73.1821 33.5162797, 73.1831078 33.5155822, 73.1833606 33.5157986, 73.1842728 33.51538, 73.1844279 33.5150913, 73.1851786 33.5143307, 73.1859807 33.5151231, 73.1865797 33.5156852, 73.1875138 33.5163902, 73.1888411 33.5174719, 73.188977 33.518205, 73.1889098 33.5186787, 73.1888186 33.5190633, 73.1884109 33.5193317, 73.1877833 33.5196447, 73.187676 33.5198862, 73.1876223 33.5204453, 73.1874721 33.5209149, 73.1869089 33.5213889, 73.1865065 33.5216528, 73.1862936 33.5217316, 73.1864721 33.5218441, 73.1865329 33.5218976, 73.1866076 33.522034, 73.1866467 33.5221696, 73.1866782 33.5221984, 73.1864851 33.5232717, 73.1877439 33.5228023, 73.1893585 33.5208719, 73.1899106 33.5202118, 73.190086 33.5200021, 73.1911215 33.5204571, 73.1913804 33.5200803, 73.1920079 33.5203181, 73.1909624 33.5222345, 73.1902004 33.5235244, 73.1898251 33.5241884, 73.1897723 33.5242818, 73.1907122 33.5243808, 73.1910126 33.5248906, 73.1910023 33.525144, 73.190959 33.5262053, 73.1899505 33.5266525, 73.1885235 33.5266615, 73.1873219 33.5260891, 73.1868606 33.5255524, 73.1860666 33.5254898, 73.1852298 33.5252841, 73.1846075 33.5248727, 73.184114 33.5241214, 73.1837278 33.5236652, 73.1831699 33.5229229, 73.182966 33.5225114, 73.1825583 33.5218495, 73.1821506 33.5215007, 73.1823275 33.52125, 73.1815358 33.5205474, 73.1821781 33.5200321, 73.182569 33.5204005, 73.1827246 33.5201747, 73.1827049 33.5200024, 73.1828426 33.5197767, 73.1826227 33.5193473, 73.1823867 33.5189761, 73.1819843 33.5185557, 73.181759 33.5182919, 73.181502 33.5181983, 73.1813781 33.5181532, 73.180772 33.5180459, 73.179919 33.5179877, 73.1792646 33.5180593, 73.1792157 33.5175521, 73.1792109 33.5175025))"
residential,"POLYGON ((73.1235711 33.6187262, 73.1249926 33.6196746, 73.1260137 33.6198301, 73.126334 33.6198789, 73.1285539 33.6202169, 73.1287477 33.6202464, 73.1291125 33.6195674, 73.1278465 33.6193708, 73.1280833 33.6182749, 73.1282327 33.6173517, 73.1271384 33.6177269, 73.1247951 33.6170598, 73.1235711 33.6187262))"
residential,"POLYGON ((73.1260137 33.6198301, 73.1285539 33.6202169, 73.1281739 33.6205593, 73.1277447 33.6213366, 73.1273907 33.6215242, 73.1273907 33.6219173, 73.1274658 33.6220513, 73.1274229 33.6232304, 73.1266826 33.6232304, 73.1255346 33.6231232, 73.1253844 33.6234001, 73.1249123 33.6234001, 73.1246012 33.6235341, 73.1228677 33.6234316, 73.1226025 33.6227756, 73.1235497 33.6228194, 73.1239253 33.621801, 73.1253522 33.6219886, 73.1259959 33.6220511, 73.1260137 33.6198301))"
cemetery,"POLYGON ((73.1855675 33.7461381, 73.1856719 33.7459674, 73.1854861 33.7458482, 73.1853622 33.7460013, 73.1855675 33.7461381))"
commercial,"POLYGON ((73.1796975 33.7435643, 73.1809079 33.7435172, 73.1814954 33.7434818, 73.1815167 33.7430934, 73.1814459 33.7426107, 73.1814317 33.7425401, 73.1811127 33.7425592, 73.180546 33.7425109, 73.1793153 33.7428403, 73.1796951 33.7435597, 73.1796975 33.7435643))"
residential,"POLYGON ((73.1851965 33.7443357, 73.1845664 33.7453412, 73.1843274 33.7457576, 73.1841959 33.7459409, 73.1840721 33.7461237, 73.1840161 33.7462635, 73.1839327 33.7465668, 73.1838617 33.7469141, 73.1837799 33.7474411, 73.1835371 33.7475265, 73.183467 33.7475032, 73.1833151 33.7476847, 73.183292 33.7478505, 73.1832643 33.7479479, 73.1836164 33.7481445, 73.1843227 33.748496, 73.1847439 33.7484068, 73.1853277 33.748529, 73.1853985 33.7485481, 73.1855097 33.748578, 73.185578 33.7485964, 73.1856484 33.7486146, 73.1857134 33.7486313, 73.185873 33.7486725, 73.1860455 33.7487158, 73.1863368 33.7487881, 73.1865849 33.7488632, 73.1874259 33.7490343, 73.189521 33.7494926, 73.1897995 33.7495535, 73.1896969 33.7492842, 73.1896166 33.7488844, 73.1892177 33.7487094, 73.1887439 33.7485725, 73.1886608 33.748414, 73.1887222 33.7482666, 73.1890666 33.7480984, 73.1893668 33.7479905, 73.189588 33.7478789, 73.1895646 33.7476798, 73.1894555 33.7474302, 73.1894254 33.747252, 73.1896248 33.7471218, 73.1900192 33.7471128, 73.1901687 33.7469738, 73.1901552 33.7467487, 73.1897954 33.7465725, 73.1894977 33.7462151, 73.1894034 33.7460381, 73.1894547 33.745819, 73.1895514 33.7456291, 73.1892391 33.745426, 73.1889078 33.7452858, 73.1876356 33.7447474, 73.1851965 33.7443357))"
residential,"POLYGON ((73.1840161 33.7462635, 73.1841777 33.7459663, 73.1843274 33.7457576, 73.1845307 33.745404, 73.1849026 33.7447652, 73.1851965 33.7443357, 73.1834414 33.7438374, 73.1818046 33.7439408, 73.1796849 33.7439306, 73.1776385 33.744049, 73.1773079 33.7444964, 73.1772037 33.7448013, 73.1769247 33.745854, 73.1774826 33.7471743, 73.1777228 33.7472154, 73.177781 33.7472254, 73.1779163 33.7472485, 73.1782167 33.7473087, 73.1783454 33.7473109, 73.178493 33.7473444, 73.1785493 33.7473867, 73.1786646 33.7474492, 73.1789328 33.7474737, 73.1789811 33.7473734, 73.1791233 33.7473265, 73.179244 33.7472752, 73.1793861 33.7472262, 73.1794666 33.7472396, 73.1796034 33.7472886, 73.1797563 33.7473221, 73.1799119 33.7473622, 73.1801077 33.7474291, 73.1802981 33.7475362, 73.1803075 33.7476234, 73.1803826 33.7475654, 73.1804684 33.7472978, 73.1808064 33.7473781, 73.1810853 33.7474406, 73.1814447 33.7475699, 73.1818648 33.7476283, 73.1822655 33.7476101, 73.182582 33.7476011, 73.1827107 33.7475788, 73.182979 33.7476859, 73.1832663 33.7477991, 73.1833151 33.7476847, 73.1833643 33.7475692, 73.183467 33.7475032, 73.1835371 33.7475265, 73.1837799 33.7474411, 73.1837977 33.7473251, 73.183844 33.7470224, 73.1838617 33.7469141, 73.1838765 33.746823, 73.1839327 33.7465668, 73.1839547 33.7464948, 73.1840161 33.7462635))"
residential,"POLYGON ((73.1832643 33.7479479, 73.183084 33.7485947, 73.1830302 33.7490971, 73.1830179 33.7492122, 73.1830383 33.74951, 73.1830205 33.7499758, 73.1833007 33.7502127, 73.1833368 33.7502727, 73.1833614 33.7503136, 73.1835248 33.7509913, 73.1837319 33.751129, 73.1842622 33.7511716, 73.1849837 33.7513308, 73.1851822 33.7515502, 73.1871429 33.751941, 73.1872527 33.7520187, 73.1874282 33.7523127, 73.1877981 33.7522502, 73.1879689 33.7520677, 73.1880034 33.751968, 73.1880278 33.7518801, 73.1881516 33.7518089, 73.1882733 33.7517743, 73.1886711 33.7516542, 73.1889476 33.7513567, 73.1892972 33.750924, 73.1896631 33.7503629, 73.1902121 33.7495741, 73.1897995 33.7495535, 73.189521 33.7494926, 73.1874259 33.7490343, 73.1866214 33.7488729, 73.1865849 33.7488632, 73.1853277 33.748529, 73.1847439 33.7484068, 73.1846768 33.7484313, 73.1843227 33.748496, 73.1836164 33.7481445, 73.1832643 33.7479479))"
residential,"POLYGON ((73.1896083 33.7455418, 73.1895514 33.7456291, 73.1894547 33.745819, 73.1894034 33.7460381, 73.1894977 33.7462151, 73.1897954 33.7465725, 73.1901552 33.7467487, 73.1901687 33.7469738, 73.1900192 33.7471128, 73.1896248 33.7471218, 73.1894254 33.747252, 73.1894555 33.7474302, 73.1895646 33.7476798, 73.189588 33.7478789, 73.1893668 33.7479905, 73.1890666 33.7480984, 73.1887222 33.7482666, 73.1886608 33.748414, 73.1887439 33.7485725, 73.1892177 33.7487094, 73.1896166 33.7488844, 73.1896969 33.7492842, 73.1897995 33.7495535, 73.1902121 33.7495741, 73.1896631 33.7503629, 73.1892972 33.750924, 73.1895008 33.7508221, 73.1896472 33.7507952, 73.1898243 33.7508413, 73.1900539 33.7508631, 73.1903156 33.7508604, 73.1907608 33.7507708, 73.1911795 33.7507961, 73.1913503 33.7508232, 73.191519 33.7508046, 73.1926673 33.7507392, 73.1938609 33.7506307, 73.1943664 33.7509031, 73.1950926 33.7511895, 73.1959031 33.7512997, 73.1964077 33.7514882, 73.1970054 33.751647, 73.1970068 33.7516053, 73.1962584 33.7509451, 73.1940813 33.7485651, 73.1936531 33.7480765, 73.1934514 33.747847, 73.1930798 33.7474322, 73.1928562 33.747057, 73.1926773 33.7467392, 73.1925025 33.7464925, 73.1922586 33.7462998, 73.1917585 33.7461612, 73.1912738 33.7460465, 73.1907616 33.7459215, 73.1903388 33.7457998, 73.1900197 33.7456811, 73.1896233 33.7455015, 73.1896083 33.7455418))"
residential,"POLYGON ((73.1774826 33.7471743, 73.1765303 33.7477765, 73.1752487 33.7480751, 73.1745621 33.7487442, 73.1746479 33.7492705, 73.1749054 33.7498593, 73.1765009 33.7496484, 73.1781354 33.749827, 73.178425 33.7498736, 73.1778758 33.7511868, 73.1785129 33.7516694, 73.1802117 33.7517401, 73.1817265 33.7520343, 73.1827316 33.7519755, 73.1836595 33.75108, 73.1833614 33.7503136, 73.1830205 33.7499758, 73.1830179 33.7492122, 73.1830302 33.7490971, 73.183084 33.7485947, 73.1832643 33.7479479, 73.183292 33.7478505, 73.1832663 33.7477991, 73.182979 33.7476859, 73.1827107 33.7475788, 73.182582 33.7476011, 73.1822655 33.7476101, 73.1818648 33.7476283, 73.1817451 33.7476234, 73.1814447 33.7475699, 73.1810853 33.7474406, 73.1808064 33.7473781, 73.1804684 33.7472978, 73.1803305 33.7476057, 73.1802981 33.7475362, 73.1801077 33.7474291, 73.1797563 33.7473221, 73.1796034 33.7472886, 73.1794666 33.7472396, 73.1793861 33.7472262, 73.1791233 33.7473265, 73.1789811 33.7473734, 73.1789328 33.7474737, 73.1786646 33.7474492, 73.1785493 33.7473867, 73.178493 33.7473444, 73.1783454 33.7473109, 73.1782167 33.7473087, 73.1779163 33.7472485, 73.177781 33.7472254, 73.1777228 33.7472154, 73.1774826 33.7471743))"
residential,"POLYGON ((73.1837319 33.751129, 73.183961 33.7511697, 73.1842622 33.7511716, 73.1845634 33.7512357, 73.1849027 33.7513095, 73.1849837 33.7513308, 73.1851822 33.7515502, 73.1857371 33.7516184, 73.1858958 33.7516688, 73.186176 33.751696, 73.1871429 33.751941, 73.1872527 33.7520187, 73.1874282 33.7523127, 73.1877981 33.7522502, 73.1879018 33.7521674, 73.1879689 33.7520677, 73.1880278 33.7518801, 73.1881516 33.7518089, 73.1884348 33.7517505, 73.1886381 33.7517569, 73.1887583 33.7517006, 73.1888199 33.7516263, 73.1889295 33.7514932, 73.18924 33.7513204, 73.1893264 33.7512427, 73.1893925 33.7510854, 73.189433 33.7508862, 73.1895008 33.7508221, 73.1896472 33.7507952, 73.1898243 33.7508413, 73.1898998 33.7508541, 73.1900539 33.7508631, 73.1903156 33.7508604, 73.1905494 33.7508046, 73.1909681 33.7507657, 73.1913503 33.7508232, 73.191519 33.7508046, 73.1913179 33.7512614, 73.1897461 33.7516093, 73.1893921 33.7520731, 73.188964 33.752568, 73.1883906 33.7528622, 73.1880862 33.7533919, 73.1880826 33.7534448, 73.1880509 33.7539098, 73.1875783 33.7556753, 73.1864388 33.7566226, 73.1856543 33.7567779, 73.1856491 33.7557099, 73.1857591 33.755614, 73.1857725 33.755507, 73.1857135 33.7553732, 73.1858315 33.7550498, 73.1860943 33.7546885, 73.1859837 33.7544132, 73.1857698 33.7540195, 73.1855418 33.7538679, 73.1851395 33.7537207, 73.1847801 33.7534308, 73.1846272 33.7531922, 73.1844528 33.752784, 73.1843348 33.7526502, 73.1841176 33.7523469, 73.1840103 33.7522176, 73.183903 33.752086, 73.1837984 33.7519901, 73.1838976 33.7517381, 73.1839352 33.7515887, 73.1838976 33.7514571, 73.1838037 33.7512832, 73.1837319 33.751129))"
residential,"POLYGON ((73.1856543 33.7567779, 73.1856491 33.7557099, 73.1857591 33.755614, 73.1857725 33.755507, 73.1857135 33.7553732, 73.1858315 33.7550498, 73.1860943 33.7546885, 73.1858637 33.7541712, 73.1857698 33.7540195, 73.1851395 33.7537207, 73.1847801 33.7534308, 73.1846437 33.753218, 73.1844528 33.752784, 73.183903 33.752086, 73.1837984 33.7519901, 73.1838976 33.7517381, 73.1839352 33.7515887, 73.1838037 33.7512832, 73.1836595 33.75108, 73.1827316 33.7519755, 73.1817265 33.7520343, 73.1802117 33.7517401, 73.1785129 33.7516694, 73.1772567 33.7518399, 73.1763649 33.7533347, 73.1757986 33.7545235, 73.1754828 33.75747, 73.1800532 33.7589685, 73.1840444 33.7559714, 73.1846452 33.7559358, 73.1856543 33.7567779))"
farmyard,"POLYGON ((73.1394115 33.6640211, 73.1409457 33.6640523, 73.1409377 33.6634228, 73.1393793 33.6633781, 73.1394115 33.6640211))"
orchard,"POLYGON ((73.1962416 33.642486, 73.1961751 33.6419285, 73.196556 33.6419196, 73.1965774 33.6421362, 73.196497 33.6421652, 73.1965159 33.6424709, 73.1962416 33.642486))"
quarry,"POLYGON ((72.7667051 33.6905737, 72.7664476 33.6923591, 72.7673488 33.6946443, 72.7693229 33.696858, 72.7714258 33.7005355, 72.7766185 33.7025349, 72.7831846 33.7042843, 72.7886348 33.7053911, 72.7925401 33.7059266, 72.7948146 33.706712, 72.7986341 33.7065335, 72.8030191 33.7056541, 72.8034406 33.7055696, 72.8060585 33.7055696, 72.8118091 33.7072832, 72.8160577 33.7075331, 72.820006 33.7061408, 72.8216797 33.7056053, 72.8218197 33.7054917, 72.8230529 33.7038202, 72.8252845 33.7014638, 72.8242975 33.7002856, 72.8176027 33.6979292, 72.8132253 33.6968937, 72.8109079 33.6969651, 72.8081613 33.6978577, 72.8025394 33.6980006, 72.798162 33.6984647, 72.7980762 33.697465, 72.7970033 33.6956797, 72.791596 33.6933232, 72.7890211 33.6935374, 72.7864891 33.6947157, 72.7849012 33.696251, 72.7872615 33.6978577, 72.7918964 33.6990003, 72.7919393 33.7001785, 72.788034 33.7011068, 72.7833133 33.7004998, 72.7810388 33.7006069, 72.7761894 33.6995715, 72.7757173 33.6988218, 72.7767902 33.6980363, 72.7749019 33.6961796, 72.772842 33.69443, 72.7709108 33.6931446, 72.7704816 33.6919663, 72.768765 33.6910379, 72.7667051 33.6905737))"
quarry,"POLYGON ((72.8259873 33.7042062, 72.827425 33.7033315, 72.828412 33.7033672, 72.8288412 33.7039206, 72.8302574 33.703992, 72.8329396 33.7040455, 72.8336906 33.7046525, 72.835772 33.7047953, 72.8389692 33.7055629, 72.840364 33.7065446, 72.8402352 33.7074729, 72.8410506 33.7084189, 72.8421235 33.7086867, 72.8422093 33.7096327, 72.840364 33.7111321, 72.8361368 33.7133275, 72.8347635 33.713863, 72.8347206 33.7143449, 72.837553 33.715523, 72.837553 33.7163083, 72.8361368 33.7167723, 72.8330469 33.7162369, 72.8297853 33.7149161, 72.8281116 33.715166, 72.8266525 33.7157728, 72.8250217 33.7153445, 72.8246784 33.7129527, 72.8236055 33.7121674, 72.8227472 33.7109179, 72.823348 33.7096327, 72.8241634 33.7089901, 72.8265667 33.7087759, 72.8291809 33.7082136, 72.831974 33.7091686, 72.8344202 33.7089544, 72.8351926 33.707812, 72.8346777 33.7065268, 72.8319311 33.70567, 72.8308153 33.7052416, 72.8284978 33.7045989, 72.8264808 33.7045275, 72.8259873 33.7042062))"
quarry,"POLYGON ((72.8526914 33.7087759, 72.8524661 33.7092132, 72.8516185 33.710195, 72.8516936 33.7111945, 72.8538179 33.712685, 72.8541172 33.713095, 72.8545475 33.7136845, 72.8541398 33.7140772, 72.8538394 33.7158264, 72.8536033 33.7167723, 72.8525734 33.7170579, 72.8525519 33.7178075, 72.8527166 33.7178726, 72.8534102 33.7181466, 72.8557277 33.7177718, 72.8564143 33.7174327, 72.8561139 33.7166117, 72.8562212 33.7152731, 72.856822 33.7142914, 72.8582382 33.7142735, 72.8590627 33.7145736, 72.8596115 33.7147733, 72.8606415 33.7142914, 72.8605342 33.7134346, 72.8589892 33.7127742, 72.857809 33.7127207, 72.8576374 33.7120781, 72.8569507 33.7120424, 72.8556847 33.7113998, 72.8550195 33.7101146, 72.854054 33.7095256, 72.8532206 33.7090671, 72.8526914 33.7087759))"
residential,"POLYGON ((72.9990124 33.6780967, 72.9990641 33.6780299, 72.9999587 33.6768743, 73.0002253 33.6770186, 73.0005892 33.6771642, 73.0008778 33.6772712, 73.0014242 33.6774655, 73.0026533 33.6780378, 73.0017021 33.6793318, 73.0016143 33.6794649, 72.9990124 33.6780967))"
cemetery,"POLYGON ((73.0759565 33.6596035, 73.0768158 33.6596501, 73.0773013 33.6595248, 73.0762203 33.6589519, 73.0759658 33.6590049, 73.0758818 33.659067, 73.0759472 33.6591448, 73.075723 33.6592692, 73.0758724 33.6595568, 73.0759565 33.6596035))"
residential,"POLYGON ((73.0567512 33.6528865, 73.0567776 33.6527876, 73.0572927 33.6520619, 73.0568965 33.651864, 73.0571342 33.6514462, 73.0569259 33.6512907, 73.0570153 33.6511713, 73.0581117 33.6514902, 73.0583098 33.651787, 73.0582834 33.6520839, 73.0574776 33.6529635, 73.0567512 33.6528865))"
residential,"POLYGON ((73.0578607 33.6529855, 73.0592476 33.6532384, 73.0594325 33.6524357, 73.0592476 33.6522928, 73.0587985 33.6521829, 73.0585608 33.6522158, 73.0578607 33.6529855))"
cemetery,"POLYGON ((73.056502 33.6500438, 73.0559557 33.6498165, 73.0551212 33.6497154, 73.0548026 33.6495891, 73.054484 33.6492228, 73.0541805 33.6480861, 73.0550605 33.6479598, 73.0555764 33.6485155, 73.0560316 33.6486797, 73.0568813 33.648806, 73.0568358 33.6496018, 73.056502 33.6500438))"
residential,"POLYGON ((73.0932138 33.6623187, 73.0935627 33.6626471, 73.0947007 33.6620157, 73.0953835 33.6634553, 73.0963242 33.6631017, 73.0973256 33.6627229, 73.0980084 33.6626218, 73.0985394 33.6620409, 73.0989946 33.6608791, 73.0995864 33.6597551, 73.0999809 33.6596162, 73.1003905 33.6596793, 73.100694 33.6600329, 73.1011037 33.6609043, 73.1014375 33.660134, 73.1014223 33.6597172, 73.1021202 33.6596919, 73.1018926 33.6592752, 73.1013313 33.6592752, 73.1013009 33.6588584, 73.1016195 33.6588332, 73.1014223 33.6579365, 73.1012402 33.6579617, 73.1011492 33.6571914, 73.1000719 33.6571029, 73.0997533 33.6575829, 73.0990705 33.6575829, 73.099116 33.6579617, 73.0988126 33.6578733, 73.0988581 33.6571282, 73.0993588 33.6567998, 73.0995712 33.656282, 73.0991615 33.6562063, 73.0989946 33.6567114, 73.0985546 33.6565725, 73.0984484 33.6563452, 73.0969159 33.6563578, 73.0964911 33.6575323, 73.0961421 33.6576334, 73.0954594 33.6569009, 73.0952014 33.6568882, 73.0947311 33.6575323, 73.0950042 33.6580754, 73.094291 33.6585679, 73.0939117 33.6584543, 73.0938039 33.6585267, 73.0930469 33.6590352, 73.0928344 33.6595656, 73.092971 33.6599066, 73.0918634 33.6613716, 73.0920303 33.661561, 73.093411 33.6616999, 73.0932138 33.6623187))"
cemetery,"POLYGON ((73.0954143 33.6604957, 73.0962332 33.6605633, 73.0961898 33.6601568, 73.0961782 33.6600485, 73.0961725 33.659995, 73.0954138 33.6603613, 73.0954143 33.6604957))"
cemetery,"POLYGON ((73.0952014 33.6566735, 73.0953228 33.656522, 73.0947159 33.6555495, 73.0945338 33.6555621, 73.0940786 33.6562568, 73.0952014 33.6566735))"
residential,"POLYGON ((73.0955756 33.6563403, 73.0971773 33.6561237, 73.0981383 33.6548405, 73.0990993 33.6552571, 73.0993996 33.6542072, 73.0993796 33.6535573, 73.0981983 33.652874, 73.0955756 33.6563403))"
residential,"POLYGON ((73.1122381 33.6571977, 73.1100065 33.6576799, 73.1088693 33.6578942, 73.1080968 33.6584479, 73.1072385 33.6587873, 73.1064016 33.658698, 73.105479 33.658823, 73.1050713 33.6584658, 73.1059939 33.6582336, 73.1058223 33.6578049, 73.1052215 33.657287, 73.1046207 33.657537, 73.1046421 33.6580371, 73.1037838 33.6580371, 73.1042773 33.6570548, 73.103934 33.6565368, 73.1050284 33.6560546, 73.1051356 33.656894, 73.1061227 33.6563939, 73.1063373 33.6556438, 73.1105054 33.6541032, 73.1083181 33.6536734, 73.1088337 33.6525833, 73.1102074 33.652199, 73.1094409 33.6518955, 73.1083312 33.6521278, 73.1063631 33.6513599, 73.1048426 33.6519941, 73.1035889 33.6518467, 73.1028118 33.6513622, 73.1031313 33.6507628, 73.1017199 33.6503896, 73.1010571 33.6490598, 73.1035736 33.6456014, 73.1054893 33.6452868, 73.1058017 33.6477658, 73.10594 33.6495202, 73.109097 33.6493064, 73.1090568 33.647753, 73.1110765 33.6482715, 73.1125035 33.6501314, 73.1127397 33.6518505, 73.1127424 33.654849, 73.1122381 33.6571977))"
cemetery,"POLYGON ((73.1003935 33.6480704, 73.1016502 33.6465699, 73.1022529 33.6468312, 73.1019667 33.6471179, 73.1019644 33.647472, 73.1014878 33.6476901, 73.1013805 33.6479275, 73.1010158 33.6482669, 73.1003935 33.6480704))"
cemetery,"POLYGON ((73.1017508 33.6424461, 73.1021958 33.6423126, 73.1020954 33.6422391, 73.1018691 33.6421735, 73.1025073 33.6413215, 73.1028628 33.6407977, 73.1028423 33.641111, 73.1029018 33.6413888, 73.1034638 33.6416467, 73.1027604 33.6426154, 73.1017508 33.6424461))"
residential,"POLYGON ((73.1111239 33.6430824, 73.1106733 33.6425108, 73.1104372 33.6424393, 73.1099866 33.6425465, 73.1097935 33.6428144, 73.1092142 33.6429931, 73.1091283 33.6427966, 73.1086133 33.6428502, 73.108549 33.6427073, 73.1061913 33.6419949, 73.1125616 33.6336856, 73.11563 33.6294871, 73.1180333 33.6299516, 73.1200503 33.6302732, 73.120694 33.6306842, 73.1218956 33.6318633, 73.1208657 33.6330246, 73.1205867 33.6342573, 73.1209086 33.6353828, 73.1207798 33.6362761, 73.1195138 33.6361689, 73.1187628 33.6360081, 73.1175183 33.636151, 73.1164883 33.6364726, 73.1157158 33.6375981, 73.1154369 33.6385449, 73.1153511 33.6392595, 73.115115 33.6399205, 73.1139134 33.6418677, 73.1125616 33.6429216, 73.1118749 33.6433146, 73.1111239 33.6430824))"
